Target,EventIndex,Group,EventTime,IETTA,DTA,IEVTA,LocalEventKey,Fraction,ConsigneeZipCut3,ConsignorZipCut2,ServiceCode,Hour,Day,LocationLatEnum,LocationLonEnum,LocationKey,EventCode,IETTAHours,DTAC,FractionC,TTATA
in_time,0,1,1671408600,1010,38,2,FIN|NA,0,FIN|058,FIN|02,SC|83,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M3,F0,490
in_time,1,1,1671408660,1009,38,2,FIN|NA,0,FIN|058,FIN|02,SC|83,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,489
in_time,2,1,1671408720,1008,38,2,FIN|S,1,FIN|058,FIN|02,SC|83,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M3,F0,488
in_time,3,1,1671412260,949,38,2,FIN|NA,60,FIN|058,FIN|02,SC|83,1AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H15,M3,F6,429
in_time,4,1,1671429000,670,38,3,FIN|5,336,FIN|058,FIN|02,SC|83,5AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H11,M3,F33,150
in_time,5,1,1671434400,580,0,0,NA|NA,425,FIN|058,FIN|02,SC|83,7AM,Mon,NA,NA,NA|NA,EC|68,H9,M,F42,60
delayed,6,1,1671438000,520,38,4,FIN|6,485,FIN|058,FIN|02,SC|83,8AM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H8,M3,F48,0
delayed,1,2,1671409980,987,50,3,FIN|NA,0,FIN|081,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M5,F0,709
delayed,2,2,1671410040,986,0,0,FIN|NA,1,FIN|081,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H16,M,F0,708
in_time,3,2,1671410040,986,50,3,FIN|NA,1,FIN|081,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M5,F0,708
in_time,4,2,1671410100,985,50,3,FIN|S,2,FIN|081,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M5,F0,707
in_time,5,2,1671410100,985,50,3,FIN|NA,2,FIN|081,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M5,F0,707
in_time,6,2,1671421500,795,50,3,FIN|NA,194,FIN|081,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H13,M5,F19,517
in_time,7,2,1671421560,794,50,3,FIN|S,195,FIN|081,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H13,M5,F19,516
in_time,8,2,1671423060,769,50,3,FIN|NA,220,FIN|081,FIN|01,SC|18,4AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H12,M5,F22,491
in_time,9,2,1671423120,768,50,3,FIN|NA,221,FIN|081,FIN|01,SC|18,4AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H12,M5,F22,490
in_time,10,2,1671433980,587,50,5,FIN|5,405,FIN|081,FIN|01,SC|18,7AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H9,M5,F40,309
in_time,11,2,1671452520,278,50,10,FIN|6,718,FIN|081,FIN|01,SC|18,12PM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H4,M5,F71,0
in_time,1,3,1671408540,1011,39,2,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M3,F0,587
in_time,2,3,1671408600,1010,0,0,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H16,M,F0,586
in_time,3,3,1671408600,1010,39,2,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,586
in_time,4,3,1671408660,1009,39,2,FIN|S,1,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M3,F0,585
in_time,5,3,1671416340,881,39,2,FIN|NA,128,FIN|058,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H14,M3,F12,457
in_time,6,3,1671419580,827,39,2,FIN|5,181,FIN|058,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H13,M3,F18,403
in_time,7,3,1671443760,424,39,5,FIN|6,580,FIN|058,FIN|01,SC|18,9AM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H7,M3,F58,0
in_time,1,4,1671409380,997,39,2,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M3,F0,573
in_time,2,4,1671409440,996,0,0,FIN|NA,1,FIN|058,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H16,M,F0,572
in_time,3,4,1671409440,996,39,2,FIN|NA,1,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,572
in_time,4,4,1671409500,995,39,2,FIN|NA,2,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,571
in_time,5,4,1671409560,994,39,2,FIN|S,3,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M3,F0,570
in_time,6,4,1671416400,880,39,2,FIN|NA,117,FIN|058,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H14,M3,F11,456
in_time,7,4,1671419580,827,39,2,FIN|5,170,FIN|058,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H13,M3,F17,403
in_time,8,4,1671443760,424,39,5,FIN|6,574,FIN|058,FIN|01,SC|18,9AM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H7,M3,F57,0
in_time,1,5,1671408900,1005,39,2,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M3,F0,581
in_time,2,5,1671408960,1004,0,0,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H16,M,F0,580
in_time,3,5,1671408960,1004,39,2,FIN|NA,0,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,580
in_time,4,5,1671409020,1003,39,2,FIN|NA,1,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M3,F0,579
in_time,5,5,1671409080,1002,39,2,FIN|S,2,FIN|058,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M3,F0,578
in_time,6,5,1671416340,881,39,2,FIN|NA,123,FIN|058,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H14,M3,F12,457
in_time,7,5,1671416400,880,39,2,FIN|NA,124,FIN|058,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H14,M3,F12,456
in_time,8,5,1671419640,826,39,2,FIN|5,178,FIN|058,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H13,M3,F17,402
in_time,9,5,1671443760,424,39,5,FIN|6,578,FIN|058,FIN|01,SC|18,9AM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H7,M3,F57,0
in_time,1,6,1671408540,1011,12,0,FIN|NA,0,FIN|001,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H16,M1,F0,678
in_time,2,6,1671408600,1010,0,0,FIN|NA,0,FIN|001,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H16,M,F0,677
in_time,3,6,1671408600,1010,12,0,FIN|NA,0,FIN|001,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M1,F0,677
in_time,4,6,1671408660,1009,12,0,FIN|NA,1,FIN|001,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H16,M1,F0,676
in_time,5,6,1671408720,1008,12,0,FIN|S,2,FIN|001,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H16,M1,F0,675
in_time,6,6,1671409380,997,12,0,FIN|NA,13,FIN|001,FIN|01,SC|18,12AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H16,M1,F1,664
in_time,7,6,1671429840,656,12,1,FIN|5,351,FIN|001,FIN|01,SC|18,6AM,Mon,LAT602,LON249,DEPOT|1610,EC|113,H10,M1,F35,323
in_time,8,6,1671449220,333,12,2,FIN|6,670,FIN|001,FIN|01,SC|18,11AM,Mon,LAT602,LON249,DEPOT|1610,EC|21,H5,M1,F67,0
in_time,1,7,1671409980,2427,0,0,FIN|NA,0,FIN|135,FIN|01,SC|18,12AM,Mon,NA,NA,NA|NA,EC|z53,H40,M,F0,803
in_time,2,7,1671409980,2427,84,2,FIN|NA,0,FIN|135,FIN|01,SC|18,12AM,Mon,LAT602,LON249,HUB|485,EC|31,H40,M8,F0,803
in_time,3,7,1671417060,2309,84,2,FIN|NA,48,FIN|135,FIN|01,SC|18,2AM,Mon,LAT602,LON249,HUB|485,EC|31,H38,M8,F4,685
in_time,4,7,1671417120,2308,84,2,FIN|S,49,FIN|135,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z99,H38,M8,F4,684
in_time,5,7,1671419220,2273,84,2,FIN|NA,63,FIN|135,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H37,M8,F6,649
in_time,6,7,1671419280,2272,84,2,FIN|NA,63,FIN|135,FIN|01,SC|18,3AM,Mon,LAT602,LON249,DEPOT|1610,EC|z5C,H37,M8,F6,648
in_time,7,7,1671428760,2114,4,0,FIN|NA,128,FIN|135,FIN|01,SC|18,5AM,Mon,LAT609,LON244,DEPOT|1630,EC|z65,H35,M0,F12,490
in_time,8,7,1671450300,1755,4,0,FIN|5,276,FIN|135,FIN|01,SC|18,11AM,Mon,LAT609,LON244,DEPOT|1630,EC|113,H29,M0,F27,131
in_time,9,7,1671458160,1624,4,0,FIN|6,330,FIN|135,FIN|01,SC|18,1PM,Mon,LAT609,LON244,DEPOT|1630,EC|21,H27,M0,F33,0
in_time,2,8,1671418020,853,36,2,FIN|NA,0,FIN|031,FIN|01,SC|18,2AM,Mon,LAT602,LON249,HUB|485,EC|31,H14,M3,F0,526
in_time,3,8,1671418080,852,0,0,FIN|NA,1,FIN|031,FIN|01,SC|18,2AM,Mon,NA,NA,NA|NA,EC|z53,H14,M,F0,525
in_time,4,8,1671418080,852,36,2,FIN|NA,1,FIN|031,FIN|01,SC|18,2AM,Mon,LAT602,LON249,DEPOT|1610,EC|z65,H14,M3,F0,525
